product_id,product_name,category,supplier,current_stock,reorder_level,max_stock,cost_per_unit,selling_price,last_restock_date,units_sold_month,warehouse_location
PROD-037,Vitamin Water,Food,HealthDrink,120,50,200,2.80,5.99,2024-01-14,85,Warehouse-C
PROD-038,Wireless Speaker,Electronics,SoundWave,55,20,100,35.00,79.99,2024-01-12,32,Warehouse-A
PROD-039,Storage Cabinet,Furniture,StorageMax,28,12,50,120.00,259.99,2024-01-05,10,Warehouse-B
PROD-040,Staplers,Stationery,FastenIt,150,60,250,8.50,24.99,2024-01-16,105,Warehouse-A
PROD-041,Nuts Mix,Food,CrunchTime,180,70,300,4.20,9.99,2024-01-13,125,Warehouse-C
PROD-042,Gaming Mouse,Electronics,GameGear,40,15,80,45.00,99.99,2024-01-10,25,Warehouse-A
PROD-043,Lounge Chair,Furniture,RelaxFurn,15,6,30,250.00,549.99,2024-01-04,3,Warehouse-B
PROD-044,Folders,Stationery,FileOrg,300,120,500,1.80,5.99,2024-01-15,210,Warehouse-A
PROD-045,Sparkling Water,Food,BubbleWater,200,80,350,1.20,2.99,2024-01-14,140,Warehouse-C
PROD-046,4K Monitor,Electronics,ViewTech,18,8,35,300.00,649.99,2024-01-09,10,Warehouse-A
PROD-047,Meeting Chair,Furniture,ConferCorp,35,15,65,85.00,189.99,2024-01-07,18,Warehouse-B
PROD-048,Rubber Stamps,Stationery,StampIt,120,50,200,3.50,12.99,2024-01-16,85,Warehouse-A
PROD-049,Dried Fruit,Food,NatureBites,160,65,280,3.80,8.99,2024-01-13,110,Warehouse-C
PROD-050,Smart Watch,Electronics,WearTech,30,12,60,180.00,399.99,2024-01-11,18,Warehouse-A
PROD-051,Storage Ottoman,Furniture,StoreSeat,25,10,45,60.00,129.99,2024-01-08,12,Warehouse-B
PROD-052,Calculators,Electronics,MathTech,80,30,150,15.00,34.99,2024-01-14,55,Warehouse-A
PROD-053,Juice Boxes,Food,KidsJuice,250,100,400,1.80,4.99,2024-01-15,175,Warehouse-C
PROD-054,Desk Organizer,Stationery,NeatDesk,100,40,180,12.00,29.99,2024-01-12,70,Warehouse-A
PROD-055,Side Table,Furniture,TableCorp,30,12,55,45.00,99.99,2024-01-06,15,Warehouse-B
PROD-056,Wireless Charger,Electronics,ChargeTech,65,25,120,20.00,44.99,2024-01-13,40,Warehouse-A
PROD-057,Crackers,Food,CrunchCorp,180,70,320,2.20,5.99,2024-01-14,125,Warehouse-C
PROD-058,Label Maker,Electronics,LabelPro,35,15,70,35.00,79.99,2024-01-11,22,Warehouse-A
PROD-059,Floor Lamp,Furniture,LightSolutions,20,8,40,85.00,189.99,2024-01-05,8,Warehouse-B
PROD-060,Tape Dispenser,Stationery,TapeIt,90,35,160,6.50,18.99,2024-01-16,63,Warehouse-A
PROD-061,Granola,Food,MorningFuel,140,55,250,3.60,8.99,2024-01-13,98,Warehouse-C
PROD-062,Fitness Tracker,Electronics,FitTech,45,18,85,80.00,179.99,2024-01-10,28,Warehouse-A
PROD-063,Coat Rack,Furniture,HangIt,25,10,45,35.00,79.99,2024-01-07,12,Warehouse-B
PROD-064,Hole Punch,Stationery,PunchIt,70,28,125,12.50,29.99,2024-01-15,49,Warehouse-A
PROD-065,Popcorn,Food,SnackTime,200,80,350,2.40,5.99,2024-01-14,140,Warehouse-C
PROD-066,Action Camera,Electronics,ActionPro,15,6,30,150.00,329.99,2024-01-09,8,Warehouse-A
PROD-067,Bar Stool,Furniture,SitHigh,18,8,35,65.00,149.99,2024-01-04,6,Warehouse-B
PROD-068,Paper Shredder,Electronics,ShredSafe,22,10,40,120.00,259.99,2024-01-12,12,Warehouse-A
PROD-069,Cheese Crackers,Food,CheeseTime,160,65,280,2.80,6.99,2024-01-13,112,Warehouse-C
PROD-070,Document Scanner,Electronics,ScanTech,12,5,25,200.00,449.99,2024-01-08,6,Warehouse-A
PROD-071,Desk Pad,Stationery,DeskCover,85,35,150,8.00,22.99,2024-01-15,60,Warehouse-A
PROD-072,Plant Stand,Furniture,GreenSupport,35,15,65,25.00,59.99,2024-01-06,18,Warehouse-B
PROD-073,Energy Bars,Food,PowerFuel,220,90,380,2.60,6.99,2024-01-14,154,Warehouse-C
PROD-074,Projector,Electronics,ProjectPro,8,3,15,400.00,899.99,2024-01-03,3,Warehouse-A
PROD-075,Magazine Rack,Furniture,ReadOrg,28,12,50,22.00,49.99,2024-01-07,14,Warehouse-B
