ticket_id,created_date,customer_id,priority,category,subcategory,status,assigned_agent,resolution_time_hours,satisfaction_score,resolution_notes
TICK-067,2024-02-05 13:30:00,CUST-1027,Low,General,Video Tutorial,Open,AGENT-006,NULL,NULL,Creating custom video tutorial
TICK-068,2024-02-06 09:30:00,CUST-1028,High,Technical,API Rate Limit,Closed,AGENT-007,1.5,4.6,Rate limit increased for account
TICK-069,2024-02-06 11:15:00,CUST-1029,Medium,Billing,Multi-user Billing,Closed,AGENT-004,4.5,4.0,Multi-user plan configured
TICK-070,2024-02-06 14:45:00,CUST-1030,Low,Account,Notification Preferences,Closed,AGENT-001,1.0,4.9,Email notifications disabled
TICK-071,2024-02-07 08:00:00,CUST-1031,High,Technical,Third-party Integration,In Progress,AGENT-005,NULL,NULL,Testing Zapier integration
TICK-072,2024-02-07 10:30:00,CUST-1032,Medium,General,Analytics Question,Closed,AGENT-006,2.0,4.4,Analytics dashboard walkthrough
TICK-073,2024-02-07 12:15:00,CUST-1033,Low,Billing,Downgrade Process,Closed,AGENT-003,2.5,4.3,Account downgraded successfully
TICK-074,2024-02-08 09:15:00,CUST-1034,High,Account,Duplicate Account,Closed,AGENT-002,5.0,3.8,Duplicate account merged
TICK-075,2024-02-08 11:45:00,CUST-1035,Medium,Technical,Mobile Sync Issue,Closed,AGENT-008,3.5,4.2,Mobile sync reconfigured
TICK-076,2024-02-08 15:00:00,CUST-1036,Low,General,Custom Fields,Closed,AGENT-006,1.5,4.7,Custom fields setup guide
TICK-077,2024-02-09 08:30:00,CUST-1037,High,Technical,Database Timeout,Closed,AGENT-007,4.0,4.1,Database query optimized
TICK-078,2024-02-09 10:00:00,CUST-1038,Medium,Billing,Enterprise Pricing,Open,AGENT-004,NULL,NULL,Preparing enterprise quote
TICK-079,2024-02-09 13:45:00,CUST-1039,Low,Account,Avatar Upload,Closed,AGENT-001,0.5,4.8,Profile avatar updated
TICK-080,2024-02-10 09:00:00,CUST-1040,High,Technical,Performance Degradation,In Progress,AGENT-005,NULL,NULL,Performance monitoring active
